Product Title,Type,Current Price,Product URL,Original Price,Discount,Estimated Delivery,Category,Rating,Reviews
Bloom Blush Planter - Set Of Two,Metal,₹799,https://vaaree.com/products/bloom-blush-planter-set-of-two,"₹2,999",74% off,Delivery Tomorrow,Artificial Flowers & Plants,4.2,5 Reviews
(Coffee & White) Faux Pampas Grass Sticks (45.7 cms) - Set Of Six,Plastic,₹899,https://vaaree.com/products/faux-pampas-grass-sticks-coffee-white-set-of-six,"₹3,200",72% off,Delivery Tomorrow,Artificial Flowers & Plants,4,1 Reviews
Faux Realistic Bougainvillea Flower Stick - Purple,Fabric,₹599,https://vaaree.com/products/faux-realistic-bougainvillea-flower-stick-purple,₹699,15% off,"Mon, 3rd Mar",Artificial Flowers & Plants,5,3 Reviews
Faux Tropic Anthurium Silk Plant With Pot - 2.13 ft,PVC,₹959,https://vaaree.com/products/faux-tropic-anthurium-silk-plant-with-pot,"₹1,750",46% off,"Mon, 3rd Mar",Artificial Flowers & Plants,3,3 Reviews
Goldo Glamour Planter - Set Of Two,Metal,₹699,https://vaaree.com/products/goldo-glamour-planter-set-of-two,"₹2,699",75% off,Delivery Tomorrow,Artificial Flowers & Plants,3.3,3 Reviews
Pebble Play Vase - White,Ceramic,₹398,https://vaaree.com/products/pebble-play-vase-white,₹919,57% off,"Tue, 4th Mar",Artificial Flowers & Plants,3.3,3 Reviews
Paradise Finesse Planter - Set Of Two,Metal,₹799,https://vaaree.com/products/paradise-finesse-planter-set-of-two,"₹2,999",74% off,Delivery Tomorrow,Artificial Flowers & Plants,Inclusive of all taxes,Orders more than 10 Items?
Artificial White Baby's Breath - Set Of Three,Plastic,₹600,https://vaaree.com/products/artificial-white-babys-breath-set-of-three,"₹2,000",70% off,"Mon, 3rd Mar",Artificial Flowers & Plants,Inclusive of all taxes,Orders more than 10 Items?
Dalfol Solawood Floral Basket,Cane,"₹1,910",https://vaaree.com/products/dalfol-solawood-floral-basket,"₹2,990",37% off,"Tue, 4th Mar",Artificial Flowers & Plants,4.8,4 Reviews
Faux Green Palm Plant With Pot - 2.62 ft,PVC,"₹1,099",https://vaaree.com/products/faux-green-banana-plant-with-pot,"₹1,500",27% off,"Mon, 3rd Mar",Artificial Flowers & Plants,2.2,5 Reviews
Edelle Rose Floral Stick,Metal,₹256,https://vaaree.com/products/edelle-floral-stick,"₹1,000",75% off,Delivery Tomorrow,Artificial Flowers & Plants,Inclusive of all taxes,One
Ivera Dune Planter (Green) - Set Of Three,Silk,₹752,https://vaaree.com/products/ivera-dune-planter-green-set-of-three,"₹2,699",73% off,Delivery Tomorrow,Artificial Flowers & Plants,3.5,6 Reviews
Bit-Daisy Floral Stick - White,Fabric,From ₹307,https://vaaree.com/products/bit-daisy-floral-stick-white,"₹1,000",70% off,Delivery Today,Artificial Flowers & Plants,4,3 Reviews
Faux Realistic Fiddle Leaf Fig Plant With Black Plastic Pot - 3.9 Feet,Dried Flowers & Leaves,"₹3,999",https://vaaree.com/products/faux-realistic-fiddle-leaf-fig-plant-with-pot-3-9-feet,"₹4,499",12% off,"Mon, 3rd Mar",Artificial Flowers & Plants,5,1 Reviews
Naturally Dried Pampas Stems (Brown) - Set Of Ten,Cotton,"₹1,368",https://vaaree.com/products/naturally-dried-pampas-stems-brown-set-of-ten,"₹1,642",17% off,"Mon, 3rd Mar",Artificial Flowers & Plants,1,1 Reviews
Faux Banana Bonsai In Ceramic Pot (24 cms) - Small,Metal,₹917,https://vaaree.com/products/faux-banana-bonsai-in-ceramic-pot-small,"₹2,250",60% off,"Mon, 3rd Mar",Artificial Flowers & Plants,4,1 Reviews
Sofia Macrame Plant Hanger - Set Of Two,Dried Flowers & Leaves,₹384,https://vaaree.com/products/sofia-macrame-plant-hanger-set-of-two,"₹1,400",73% off,Delivery Tomorrow,Artificial Flowers & Plants,4,3 Reviews
Elitta Ethnic Handcrafted Planter - Set Of Three,Polyester,₹896,https://vaaree.com/products/elitta-ethnic-handcrafted-planter-set-of-three,"₹3,199",72% off,Delivery Tomorrow,Artificial Flowers & Plants,5,1 Reviews
Sitto Brown Pampas And Corn Stick - Set Of Thirteen,Ceramic,₹999,https://vaaree.com/products/sitto-brown-pampas-and-corn-stick,"₹2,999",70% off,"Mon, 3rd Mar",Artificial Flowers & Plants,Inclusive of all taxes,Orders more than 10 Items?
Faux Everlasting White Iceton Croton Plant With Pot - 2.4 Feet,Silk,₹899,https://vaaree.com/products/faux-everlasting-white-iceton-croton-plant-with-pot-2-4-feet,₹639,69% off,"Mon, 3rd Mar",Artificial Flowers & Plants,5,1 Reviews
Druva Ethnic Planter - Blue & Yellow,PVC,₹202,https://vaaree.com/products/druva-ethnic-planter-blue-yellow,"₹1,000",70% off,"Tue, 4th Mar",Artificial Flowers & Plants,5,2 Reviews
Lilium Roose Floral Sticks - Pink,Plastic,From ₹307,https://vaaree.com/products/lilium-roose-floral-sticks-pink,"₹1,750",29% off,"Tue, 4th Mar",Artificial Flowers & Plants,5,1 Reviews
Faux Tropica Dumb Cane Plant With Pot - 2.13 ft,,"₹1,249",https://vaaree.com/products/faux-tropica-dumb-cane-plant-with-pot,"₹1,299",47% off,"Mon, 3rd Mar",Artificial Flowers & Plants,1,1 Reviews
Faux Pink Flower Vine With Metal Wall Stand,,₹699,https://vaaree.com/products/faux-pink-flower-vine-with-metal-wall-stand,,,"Sat, 1st Mar",Artificial Flowers & Plants,3.8,6 Reviews
